Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",0.41176470588235325,0.8472222222222221,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne,Michel Gondry,drama romance scifi relationship turn sour couple undergoes medical procedure erased memory jim carrey michel gondry
Amélie,"Comedy, Romance",0.41176470588235325,0.5694444444444444,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta,Jean-Pierre Jeunet,comedy romance amélie innocent naive girl paris sense justice decides help around along way discovers love audrey tautou jeanpierre jeunet
Snatch,"Comedy, Crime",0.41176470588235325,0.375,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Jason Statham,Brad Pitt,Benicio Del Toro,Dennis Farina,Guy Ritchie,comedy crime unscrupulous boxing promoter violent bookmaker russian gangster incompetent amateur robber supposedly jewish jeweler fight track priceless stolen diamond jason statham guy ritchie
Requiem for a Dream,Drama,0.41176470588235325,0.5555555555555556,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,Darren Aronofsky,drama druginduced utopia four coney island people shattered addiction run deep ellen burstyn darren aronofsky
American Beauty,Drama,0.41176470588235325,0.7777777777777777,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Sam Mendes,drama sexually frustrated suburban father midlife crisis becoming infatuated daughter best friend kevin spacey sam mendes
Good Will Hunting,"Drama, Romance",0.41176470588235325,0.5833333333333334,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård,Gus Van Sant,drama romance hunting janitor mit gift mathematics need help psychologist find direction life robin williams gu van sant
Bacheha-Ye aseman,"Drama, Family, Sport",0.41176470588235325,0.6805555555555556,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi,Majid Majidi,drama family sport boy loses sister pair shoe go series adventure order find cant try new way win new pair mohammad amir naji majid majidi
Toy Story,"Animation, Adventure, Comedy",0.41176470588235325,0.9305555555555556,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,John Lasseter,animation adventure comedy cowboy doll profoundly threatened jealous new spaceman figure supplants top toy boy room tom hank john lasseter
Braveheart,"Biography, Drama, History",0.41176470588235325,0.5555555555555556,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,Mel Gibson,biography drama history scottish warrior william wallace lead countryman rebellion free homeland tyranny king edward england mel gibson mel gibson
Reservoir Dogs,"Crime, Drama, Thriller",0.41176470588235325,0.7083333333333333,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn,Quentin Tarantino,crime drama thriller simple jewelry heist go horribly wrong surviving criminal begin suspect one police informant harvey keitel quentin tarantino
Full Metal Jacket,"Drama, War",0.41176470588235325,0.6666666666666667,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,Adam Baldwin,Stanley Kubrick,drama war pragmatic u marine observes dehumanizing effect vietnam war fellow recruit brutal boot camp training bloody street fighting hue matthew modine stanley kubrick
Aliens,"Action, Adventure, Sci-Fi",0.41176470588235325,0.7777777777777777,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,James Cameron,action adventure scifi fiftyseven year surviving apocalyptic attack aboard space vessel merciless space creature officer ripley awakens hypersleep try warn anyone listen predator sigourney weaver james cameron
Amadeus,"Biography, Drama, History",0.41176470588235325,0.8333333333333333,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice,Milos Forman,biography drama history life success trouble wolfgang amadeus mozart told antonio salieri contemporaneous composer insanely jealous mozart talent claimed murdered f murray abraham milo forman
Scarface,"Crime, Drama",0.41176470588235325,0.5138888888888888,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio,Brian De Palma,crime drama 1980 miami determined cuban immigrant take drug cartel succumbs greed al pacino brian de palma
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",0.41176470588235325,0.41666666666666663,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Richard Marquand,action adventure fantasy daring mission rescue han solo jabba hutt rebel dispatch endor destroy second death star meanwhile luke struggle help darth vader back dark side without falling emperor trap mark hamill richard marquand
Das Boot,"Adventure, Drama, Thriller",0.41176470588235325,0.8055555555555556,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Wolfgang Petersen,adventure drama thriller claustrophobic world wwii german uboat boredom filth sheer terror jürgen prochnow wolfgang petersen
Taxi Driver,"Crime, Drama",0.41176470588235325,0.9166666666666667,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Robert De Niro,Jodie Foster,Cybill Shepherd,Albert Brooks,Martin Scorsese,crime drama mentally unstable veteran work nighttime taxi driver new york city perceived decadence sleaze fuel urge violent action attempting liberate presidential campaign worker underage prostitute robert de niro martin scorsese
The Sting,"Comedy, Crime, Drama",0.41176470588235325,0.7638888888888888,Two grifters team up to pull off the ultimate con.,Paul Newman,Robert Redford,Robert Shaw,Charles Durning,George Roy Hill,comedy crime drama two grifter team pull ultimate con paul newman george roy hill
A Clockwork Orange,"Crime, Drama, Sci-Fi",0.41176470588235325,0.6805555555555556,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke,Stanley Kubrick,crime drama scifi future sadistic gang leader imprisoned volunteer conductaversion experiment doesnt go planned malcolm mcdowell stanley kubrick
2001: A Space Odyssey,"Adventure, Sci-Fi",0.41176470588235325,0.7777777777777777,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,Stanley Kubrick,adventure scifi discovering mysterious artifact buried beneath lunar surface mankind set quest find origin help intelligent supercomputer hal 9000 keir dullea stanley kubrick
Per qualche dollaro in più,Western,0.41176470588235325,0.6388888888888888,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,Mara Krupp,Sergio Leone,western two bounty hunter intention team track western outlaw clint eastwood sergio leone
Lawrence of Arabia,"Adventure, Biography, Drama",0.41176470588235325,1.0,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,David Lean,adventure biography drama story te lawrence english officer successfully united led diverse often warring arab tribe world war order fight turk peter otoole david lean
The Apartment,"Comedy, Drama, Romance",0.41176470588235325,0.9166666666666667,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Billy Wilder,comedy drama romance man try rise company letting executive use apartment tryst complication romance ensue jack lemmon billy wilder
North by Northwest,"Adventure, Mystery, Thriller",0.41176470588235325,0.9722222222222221,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,Alfred Hitchcock,adventure mystery thriller new york city advertising executive go run mistaken government agent group foreign spy cary grant alfred hitchcock
Vertigo,"Mystery, Romance, Thriller",0.41176470588235325,1.0,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore,Alfred Hitchcock,mystery romance thriller former police detective juggle wrestling personal demon becoming obsessed hauntingly beautiful woman james stewart alfred hitchcock
